No.,ms,TR,rtr,cobid,len,data
7758,1.504,R,0,282,08,D4 FF 00 00 00 00 CB 01 
7759,6.772,R,0,281,08,30 00 00 00 00 00 CA 01 
7760,2.708,R,0,184,08,C0 00 BD 61 41 00 00 01 
7761,2.476,R,0,183,08,C0 00 1A 5E 30 00 0F 01 
7762,2.111,R,0,286,08,30 00 00 00 00 00 01 00 
7763,1.588,R,0,188,08,C0 00 82 5D 34 00 12 01 
7764,0.940,R,0,185,08,C0 00 EA 61 32 00 0F 01 
7765,2.088,R,0,187,08,C0 00 52 61 3B 00 07 01 
7766,3.004,R,0,287,08,2F 00 00 00 00 00 C8 01 
7767,4.886,R,0,285,08,CE FF 00 00 F4 FF 01 00 
7768,0.238,R,0,181,08,C0 00 8B 5D 30 00 0C 01 
7769,3.804,R,0,288,08,D7 FF 00 00 00 00 C8 01 
7770,8.314,R,0,283,08,D0 FF 00 00 FD FF 01 00 
7771,0.838,R,0,182,08,C0 00 4C 62 32 00 11 01 
7772,6.880,R,0,187,08,C0 00 52 61 3A 00 07 01 
7773,1.218,R,0,186,08,C0 00 E4 5D 30 00 06 01 
7774,0.596,R,0,284,08,32 00 00 00 00 00 01 00 
7775,1.254,R,0,282,08,D4 FF 00 00 00 00 CB 01 
7776,6.936,R,0,281,08,30 00 00 00 00 00 CA 01 
7777,2.798,R,0,184,08,C0 00 BD 61 42 00 00 01 
7778,2.442,R,0,183,08,C0 00 1A 5E 32 00 0F 01 
7779,1.916,R,0,286,08,30 00 00 00 00 00 01 00 
7780,1.646,R,0,188,08,C0 00 82 5D 34 00 12 01 
7781,1.006,R,0,185,08,C0 00 EA 61 32 00 0F 01 
7782,5.167,R,0,287,08,2F 00 00 00 00 00 C8 01 
7783,4.808,R,0,705,01,05 
7784,0.289,R,0,181,08,C0 00 8B 5D 30 00 0C 01 
7785,4.793,R,0,288,08,D7 FF 00 00 00 00 C8 01 
7786,0.246,R,0,285,08,CE FF 00 00 F4 FF 01 00 
7787,7.224,R,0,283,08,D0 FF 00 00 FD FF 01 00 
7788,0.610,R,0,182,08,C0 00 4C 62 32 00 11 01 
7789,7.106,R,0,187,08,C0 00 52 61 3A 00 07 01 
7790,1.004,R,0,186,08,C0 00 E4 5D 30 00 06 01 
7791,0.849,R,0,284,08,32 00 00 00 00 00 01 00 
7792,0.990,R,0,282,08,D4 FF 00 00 00 00 CB 01 
7793,7.106,R,0,281,08,30 00 00 00 00 00 CA 01 
7794,2.890,R,0,184,08,C0 00 BF 61 41 00 00 01 
7795,2.412,R,0,183,08,C0 00 1A 5E 30 00 0F 01 
7796,2.659,R,0,286,08,30 00 00 00 00 00 01 00 
7797,0.760,R,0,708,01,05 
7798,1.196,R,0,185,08,C0 00 EA 61 32 00 0F 01 
7799,5.232,R,0,287,08,2F 00 00 00 00 00 C8 01 
7800,3.282,R,0,750,01,05 
7801,0.494,R,0,188,08,C0 00 81 5D 36 00 12 01 
7802,1.088,R,0,285,08,CE FF 00 00 F4 FF 01 00 
7803,0.238,R,0,181,08,C0 00 8B 5D 30 00 0C 01 
7804,4.653,R,0,288,08,D7 FF 00 00 00 00 C8 01 
7805,7.610,R,0,283,08,D0 FF 00 00 FD FF 01 00 
7806,0.380,R,0,182,08,C0 00 4C 62 32 00 11 01 
7807,7.332,R,0,187,08,C0 00 52 61 3B 00 07 01 
7808,0.780,R,0,186,08,C0 00 E4 5D 30 00 06 01 
7809,1.104,R,0,284,08,32 00 00 00 00 00 01 00 
7810,0.730,R,0,282,08,D4 FF 00 00 00 00 CB 01 
7811,7.276,R,0,281,08,30 00 00 00 00 00 CA 01 
7812,2.982,R,0,184,08,C0 00 BF 61 42 00 00 01 
7813,2.384,R,0,183,08,C0 00 1A 5E 30 00 0F 01 
7814,2.434,R,0,286,08,30 00 00 00 00 00 01 00 
7815,1.834,R,0,188,08,C0 00 81 5D 36 00 12 01 
7816,0.240,R,0,185,08,C0 00 EA 61 32 00 0F 01 
7817,5.216,R,0,287,08,2F 00 00 00 00 00 C8 01 
7818,4.670,R,0,285,08,CE FF 00 00 F4 FF 01 00 
7819,0.238,R,0,181,08,C0 00 8B 5D 30 00 0C 01 
7820,4.581,R,0,288,08,D7 FF 00 00 00 00 C8 01 
7821,7.760,R,0,283,08,D0 FF 00 00 FD FF 01 00 
7822,0.242,R,0,702,01,05 
7823,7.583,R,0,187,08,C0 00 52 61 3A 00 07 01 
7824,0.394,R,0,182,08,C0 00 4C 62 30 00 11 01 
7825,0.242,R,0,186,08,C0 00 E6 5D 30 00 06 01 
7826,1.291,R,0,284,08,32 00 00 00 00 00 01 00 
7827,0.464,R,0,282,08,D4 FF 00 00 00 00 CB 01 
7828,7.450,R,0,281,08,30 00 00 00 00 00 CA 01 
7829,3.068,R,0,184,08,C0 00 BF 61 42 00 00 01 
7830,2.362,R,0,183,08,C0 00 1A 5E 30 00 0F 01 
7831,2.204,R,0,286,08,30 00 00 00 00 00 01 00 
7832,1.912,R,0,188,08,C0 00 82 5D 36 00 12 01 
7833,0.238,R,0,185,08,C0 00 EA 61 32 00 0F 01 
7834,5.364,R,0,287,08,2F 00 00 00 00 00 C8 01 
7835,4.594,R,0,285,08,CE FF 00 00 F4 FF 01 00 
7836,0.238,R,0,181,08,C0 00 8B 5D 30 00 0C 01 
7837,4.512,R,0,288,08,D7 FF 00 00 00 00 C8 01 
7838,7.908,R,0,283,08,D0 FF 00 00 FD FF 01 00 
